"NO","Code","Prev","Open","High","Low","Last","Change","Change(%)","Change(%)","Freq","Volume","Value(T)"
"129","EXCL","1,990","2,010","2,070","1,995","2,050","Rise","60","3.01","2,565","145,267","29,582,513"
"130","TBIG","2,120","2,130","2,210","2,110","2,170","Rise","50","2.35","2,505","157,822","34,185,980"
"131","CRAB","226","224","246","224","232","Rise","6","2.65","2,474","321,496","7,545,170"
"132","MTEL","710","710","720","705","710","Unchnaged","0","0.00","2,469","172,136","12,256,659"
"133","SBAT-W","1","1","2","1","1","Unchnaged","0","0.00","2,457","896,084","91,875"
"134","CTRA","975","975","1,010","975","1,010","Rise","35","3.58","2,415","167,716","16,630,911"
"135","RAJA","900","900","945","880","935","Rise","35","3.88","2,401","166,746","15,417,818"
"136","LPKR","93","94","99","93","96","Rise","3","3.22","2,338","399,851","3,867,443"
"137","SKRN","496","496","505","476","476","Fall","20","4.03","2,267","101,405","4,985,762"
"138","SSIA","358","358","362","352","362","Rise","4","1.11","2,242","210,928","7,528,781"
"139","BELL","116","116","132","116","125","Rise","9","7.75","2,241","259,051","3,118,375"
"140","MPMX","1,170","1,170","1,175","1,155","1,160","Fall","10","0.85","2,170","145,422","16,932,418"
"141","TRIS","232","234","244","228","230","Fall","2","0.86","2,143","114,514","2,704,249"
"142","TINS","1,015","1,025","1,035","1,010","1,020","Rise","5","0.49","2,136","89,053","9,106,293"
"143","MAPA","4,590","4,680","4,890","4,550","4,740","Rise","150","3.26","2,122","25,800","12,164,024"
"144","ABBA","109","109","114","103","106","Fall","3","2.75","2,114","242,734","2,628,079"
"145","MMIX","520","515","520","484","490","Fall","30","5.76","2,064","166,692","8,172,168"
"146","GSMF","55","55","57","54","56","Rise","1","1.81","2,061","7,020","38,912"
"147","FUTR-W","5","5","5","4","4","Fall","1","20.00","2,048","594,080","275,275"
"148","JAST","63","63","72","62","65","Rise","2","3.17","2,020","210,422","1,426,661"
"149","INCO","6,425","6,475","6,525","6,400","6,525","Rise","100","1.55","2,001","51,041","33,112,820"
"150","ADHI","406","408","418","406","414","Rise","8","1.97","1,976","53,254","2,198,367"
"151","CHIP","1,330","1,460","1,460","1,400","1,460","Upper limit","130","9.77","1,962","42,072","6,132,833"
"152","BNGA","1,260","1,250","1,280","1,250","1,255","Fall","5","0.39","1,894","96,882","12,237,304"
"153","LPPF","4,780","4,830","4,980","4,800","4,970","Rise","190","3.97","1,880","69,981","34,527,672"
"154","NICL-W","45","45","51","37","49","Rise","4","8.88","1,868","5,907,006","27,585,166"
"155","CPIN","5,000","5,050","5,100","5,000","5,075","Rise","75","1.50","1,866","26,597","13,456,300"
"156","BSDE","960","960","980","960","980","Rise","20","2.08","1,836","101,628","9,896,086"
"157","WMPP","58","58","60","54","54","Lower limit","4","6.89","1,824","688,121","3,760,499"
"158","KING-W","22","22","26","19","19","Fall","3","13.63","1,798","873,831","2,002,858"
"159","CARE","484","484","492","482","490","Rise","6","1.23","1,777","430,604","20,934,603"
"160","ASSA","760","760","790","755","780","Rise","20","2.63","1,730","99,332","7,731,499"
"161","KIOS","66","66","74","64","72","Rise","6","9.09","1,717","219,626","1,537,131"
"162","INKP","7,400","7,400","7,625","7,400","7,600","Rise","200","2.70","1,709","28,647","21,609,415"
"163","PACK","160","160","171","157","159","Fall","1","0.62","1,677","124,641","2,052,844"
"164","SMDR","368","368","374","368","372","Rise","4","1.08","1,671","139,826","5,193,918"
"165","PNLF","356","358","360","352","358","Rise","2","0.56","1,643","211,117","7,535,036"
"166","JAST-W","11","11","14","11","13","Rise","2","18.18","1,639","16,877","21,941"
"167","BBYB","615","620","640","615","620","Rise","5","0.81","1,635","108,760","6,824,066"
"168","AHAP","51","51","63","50","55","Rise","4","7.84","1,598","427,250","2,425,448"
"169","DSNG","725","725","725","700","705","Fall","20","2.75","1,597","379,238","26,956,992"
"170","FWCT","101","101","103","98","102","Rise","1","0.99","1,592","147,211","1,477,457"
"171","AMAR","340","340","340","328","338","Fall","2","0.58","1,585","121,346","4,093,641"
"172","BOSS","66","67","72","62","66","Unchnaged","0","0.00","1,568","237,164","1,622,884"
"173","PWON","436","436","444","436","444","Rise","8","1.83","1,548","206,307","9,091,407"
"174","VTNY","438","444","535","438","505","Rise","67","15.29","1,523","227,861","10,698,457"
"175","WSKT","232","232","234","222","230","Fall","2","0.86","1,482","157,918","3,595,538"
"176","NAYZ","86","86","92","85","92","Rise","6","6.97","1,478","366,102","3,232,407"
"177","PACK-W","12","12","13","11","12","Unchnaged","0","0.00","1,410","33,298","39,957"
"178","BIPI","132","133","140","131","139","Rise","7","5.30","1,405","419,566","5,747,569"
"179","AGRO","370","368","374","364","368","Fall","2","0.54","1,398","79,015","2,905,961"
"180","BOGA","1,235","1,235","1,250","1,230","1,240","Rise","5","0.40","1,398","1,131,827","139,950,928"
"181","GZCO","98","97","101","94","95","Fall","3","3.06","1,395","197,814","1,918,130"
"182","ELSA","308","312","318","310","310","Rise","2","0.64","1,387","147,839","4,627,404"
"183","ISAT","7,000","7,050","7,125","6,950","6,950","Fall","50","0.71","1,382","17,523","12,269,752"
