"Code","Last","Change","Change(%)","GridFluctRatio","Freq","Volume","Value","Frg Buy","Frg Sell","Net Buy"
"ZATA","73","Lower limit","5","6.41","5,654","888,974","6,748,265","2,000","918","1,082"
"WTON","171","Rise","2","1.18","250","28,310","483,188","1,078","0","1,078"
"NZIA","172","Fall","8","4.44","580","36,775","631,242","3,452","2,424","1,028"
"GLVA","790","Fall","10","1.25","37","1,093","87,445","1,007","0","1,007"
"SUNI","292","Fall","2","0.68","143","5,116","149,278","1,000","3","997"
"PSAB","98","Rise","2","2.08","8,195","308,586","3,057,282","1,555","584","971"
"MICE","870","Rise","30","3.57","1,031","32,691","2,801,497","931","0","931"
"MCAS","7,650","Rise","300","4.08","1,365","9,865","7,423,482","1,533","626","907"
"FWCT","102","Rise","1","0.99","1,592","147,211","1,477,457","902","0","902"
"APII","192","Rise","5","2.67","31","2,241","42,762","900","0","900"
"KAEF","915","Fall","15","1.61","468","13,307","1,221,764","1,057","168","889"
"AMAN","374","Lower limit","28","6.96","830","63,701","2,383,128","782","0","782"
"BMHS","386","Unchnaged","0","0.00","141","25,392","953,388","778","8","770"
"BISI","1,705","Rise","20","1.18","62","2,803","474,591","762","0","762"
"HOMI","210","Rise","8","3.96","579","38,408","789,714","716","62","654"
"MLBI","9,175","Unchnaged","0","0.00","52","1,014","928,537","638","16","622"
"AGRS","84","Unchnaged","0","0.00","145","12,434","103,457","607","0","607"
"MTWI","84","Rise","2","2.43","495","53,921","444,939","2,029","1,425","604"
"MMIX-W","34","Unchnaged","0","0.00","369","117,603","403,390","588","0","588"
"GOOD","472","Unchnaged","0","0.00","257","15,389","726,185","832","396","436"
"CANI","95","Rise","3","3.26","34","482","4,518","420","0","420"
"AMFG","5,550","Rise","150","2.77","95","1,207","668,310","727","312","415"
"RICY","71","Rise","1","1.42","52","6,106","43,229","392","0","392"
"SAME","284","Rise","30","11.81","634","82,767","2,269,445","1,390","1,000","390"
"SMCB","1,310","Rise","20","1.55","253","14,179","1,841,957","390","14","376"
"IPCC","630","Rise","10","1.61","205","6,613","417,160","501","151","350"
"IMAS","1,065","Rise","15","1.42","339","12,492","1,332,757","466","133","333"
"TMAS","3,080","Rise","10","0.32","415","3,432","1,049,856","956","624","332"
"TRIS","230","Fall","2","0.86","2,143","114,514","2,704,249","330","22","308"
"TRJA","294","Unchnaged","0","0.00","870","73,877","2,211,220","7,453","7,151","302"
"COAL","130","Rise","4","3.17","9,416","1,101,143","14,359,338","527","226","301"
"BOBA","170","Unchnaged","0","0.00","82","784","13,532","297","0","297"
"DAYA","195","Rise","14","7.73","88","990","18,853","300","27","273"
"IRSX","129","Lower limit","9","6.52","6,514","1,189,940","15,354,543","266","0","266"
"MAIN","438","Rise","4","0.92","83","2,168","94,652","239","0","239"
"UCID","1,150","Unchnaged","0","0.00","50","341","39,262","290","51","239"
"BSIM","890","Unchnaged","0","0.00","94","630","54,964","208","3","205"
"MSIN","3,950","Unchnaged","0","0.00","105","4,918","1,933,037","4,886","4,684","202"
"PPRO","50","Unchnaged","0","0.00","79","579","2,895","200","0","200"
"MTDL","580","Rise","5","0.86","335","11,660","673,095","864","675","189"
"DGNS","226","Rise","2","0.89","61","534","12,119","181","0","181"
"OILS","186","Lower limit","14","7.00","1,051","96,480","1,812,715","300","120","180"
"BNLI","950","Rise","5","0.52","63","540","51,161","170","0","170"
"ICON","50","Lower limit","1","1.96","1,193","8,221","41,156","150","0","150"
"ADES","7,000","Rise","25","0.35","85","895","627,520","154","9","145"
"KKGI","392","Rise","12","3.15","559","40,919","1,616,077","624","500","124"
"BBLD","500","Fall","20","3.84","20","288","14,515","132","10","122"
